,name,rating,reviews,company_type,address,since,employee
179,BYJU'S,3.5,(11.6k Reviews),Private,"Bangalore,Karnataka + 189 more",11 years old,1k-5k Employees (India)
180,TCS,3.9,(49.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",54 years old,1 Lakh+ Employees (India)
181,Accenture,4.1,(32.2k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
182,Cognizant,3.9,(29.5k Reviews),Private,Teaneck. New Jersey. + 97 more,28 years old,1 Lakh+ Employees (India)
183,ICICI Bank,4.0,(34.8k Reviews),Public,"Mumbai,Maharashtra + 1035 more",28 years old,1 Lakh+ Employees (India)
184,HDFC Bank,4.0,(39.6k Reviews),Public,"Mumbai,Maharashtra + 1207 more",28 years old,1 Lakh+ Employees (India)
185,Wipro,3.9,(28.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 231 more",77 years old,1 Lakh+ Employees (India)
186,Infosys,3.9,(28.1k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
187,Capgemini,3.9,(23.9k Reviews),Public,Paris + 78 more,55 years old,1 Lakh+ Employees (India)
188,Tech Mahindra,3.7,(21.7k Reviews),Public,"Pune,Maharashtra + 212 more",36 years old,50k-1 Lakh Employees (India)
189,Genpact,4.0,(20.9k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
190,HCLTech,3.8,(18.4k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
191,Amazon,4.3,(18.1k Reviews),Public,"Seattle,Washington + 383 more",28 years old,1 Lakh+ Employees (India)
192,Axis Bank,3.9,(19k Reviews),Public,"Mumbai,Maharashtra + 1068 more",29 years old,1 Lakh+ Employees (India)
193,IBM,4.2,(15.6k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
194,Concentrix Corpo...,4.1,(15.3k Reviews),Public,"Fremont,California + 68 more",39 years old,10k-50k Employees (India)
195,Reliance jio,4.0,(15k Reviews),Public,"Navi Mumbai,Maharashtra + 959 more",15 years old,50k-1 Lakh Employees (India)
196,Larsen & Toubro ...,4.1,(24.7k Reviews),Public,"Mumbai,Maharashtra + 522 more",84 years old,10k-50k Employees (India)
197,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 561 more",4 years old,10k-50k Employees (India)
198,HDB Financial Se...,4.0,(13.3k Reviews),Private,"Ahmedabad,Gujrat + 770 more",15 years old,1 Lakh+ Employees (India)
199,Teleperformance,3.6,(14.4k Reviews),Private,Paris + 122 more,44 years old,50k-1 Lakh Employees (India)
200,Kotak Mahindra B...,3.9,(13.7k Reviews),Public,"Mumbai,Maharashtra + 469 more",19 years old,50k-1 Lakh Employees (India)
201,Reliance Industr...,4.1,(43.5k Reviews),Public,"Navi Mumbai,Maharashtra + 480 more",49 years old,1 Lakh+ Employees (India)
202,Bharti Airtel,4.1,(12.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 508 more",27 years old,10k-50k Employees (India)
203,Deloitte,4.1,(10.2k Reviews),Private,"New York,New York + 134 more",177 years old,50k-1 Lakh Employees (India)
204,Reliance Retail,4.1,(15.5k Reviews),Private,"Navi Mumbai,Maharashtra + 638 more",16 years old,1 Lakh+ Employees (India)
205,Tata Motors,4.1,(12.4k Reviews),Public,"Pune,Maharashtra + 390 more",77 years old,10k-50k Employees (India)
206,WNS,3.7,(7k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India)
207,Mahindra & Mahin...,3.9,(39.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",77 years old,1 Lakh+ Employees (India)
208,IndusInd Bank,3.8,(6.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 553 more",28 years old,10k-50k Employees (India)
